genome	species_id	representative	genome_is_representative	species	taxonomy	ANI circumscription radius	Mean intra-species ANI	Min intra-species ANI	Mean intra-species AF	Min intra-species AF	No. clustered genomes
MGBC113195	213195	MGBC113195	1	g__Prevotella	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__						17
MGBC113208	213208	MGBC113208	1	s__CAG-873 sp001689415	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001689415						16
MGBC113244	213244	MGBC113244	1	g__AF33-28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__AF33-28;s__						1
MGBC113262	213262	MGBC113262	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						2
MGBC113289	213289	MGBC113289	1	g__Eubacterium_F	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__						1
MGBC113320	213320	MGBC113320	1	g__Muribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__						1
MGBC113373	213373	MGBC113373	1	g__CAG-115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__						3
MGBC113403	213403	MGBC113403	1	g__Muribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__						13
MGBC113460	213460	MGBC113460	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						21
MGBC113473	213473	MGBC113473	1	s__Escherichia sp000208585	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia sp000208585						2
MGBC113509	213509	MGBC113509	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						1
MGBC113583	213583	MGBC113583	1	s__Anaerotruncus sp000403395	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395						53
MGBC113602	213602	MGBC113602	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						3
MGBC113609	213609	MGBC113609	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						2
MGBC113610	213610	MGBC113610	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						17
MGBC113616	213616	MGBC113616	1	f__Ruminococcaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__						5
MGBC113645	213645	MGBC113645	1	f__Erysipelatoclostridiaceae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__						3
MGBC113668	213668	MGBC113668	1	g__Allobaculum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__						4
MGBC113686	213686	MGBC113686	1	f__UBA1381	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__;s__						1
MGBC113809	213809	MGBC113809	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						2
MGBC113841	213841	MGBC113841	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						2
MGBC113844	213844	MGBC113844	1	s__Alistipes sp002358415	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415						53
MGBC113942	213942	MGBC113942	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						51
MGBC113951	213951	MGBC113951	1	g__Roseburia	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__						2
MGBC113998	213998	MGBC113998	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						15
MGBC113999	213999	MGBC113999	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						90
MGBC114079	214079	MGBC114079	1	f__CAG-274	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__;s__						4
MGBC114095	214095	MGBC114095	1	g__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__UBA3700;s__						63
MGBC114107	214107	MGBC114107	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						10
MGBC114113	214113	MGBC114113	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						1
MGBC114200	214200	MGBC114200	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						37
MGBC114255	214255	MGBC114255	1	g__Paramuribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__						90
MGBC114289	214289	MGBC114289	1	g__UMGS995	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UMGS995;s__						1
MGBC114398	214398	MGBC114398	1	g__UBA11517	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__						6
MGBC114452	214452	MGBC114452	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						127
MGBC114492	214492	MGBC114492	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						4
MGBC114583	214583	MGBC114583	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						1
MGBC114603	214603	MGBC114603	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						45
MGBC114681	214681	MGBC114681	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						46
MGBC114818	214818	MGBC114818	1	s__M3 sp001689445	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__M3;s__M3 sp001689445						2
MGBC114844	214844	MGBC114844	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						4
MGBC114845	214845	MGBC114845	1	s__1XD42-69 sp003612565	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp003612565						73
MGBC114912	214912	MGBC114912	1	s__Dorea sp000403475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000403475						5
MGBC114913	214913	MGBC114913	1	s__14-2 sp000403255	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403255						11
MGBC114924	214924	MGBC114924	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						1
MGBC114937	214937	MGBC114937	1	s__UBA710 sp002298905	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__UBA710;s__UBA710 sp002298905						21
MGBC114950	214950	MGBC114950	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						23
MGBC115029	215029	MGBC115029	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						23
MGBC115043	215043	MGBC115043	1	g__UBA11940	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__						4
MGBC115109	215109	MGBC115109	1	s__Akkermansia sp001580195	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp001580195						1
MGBC115181	215181	MGBC115181	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						9
MGBC115182	215182	MGBC115182	1	g__Acutalibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__						2
MGBC115325	215325	MGBC115325	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						2
MGBC115383	215383	MGBC115383	1	s__Enterobacter himalayensis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter himalayensis						1
MGBC115396	215396	MGBC115396	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						19
MGBC115827	215827	MGBC115827	1	s__Parabacteroides distasonis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis						53
MGBC116389	216389	MGBC116389	1	s__Enterococcus_B faecium	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium						1
MGBC116391	216391	MGBC116391	1	s__Lactiplantibacillus plantarum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum						2
MGBC116392	216392	MGBC116392	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						3
MGBC116396	216396	MGBC116396	1	s__Lactococcus lactis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis						19
MGBC116409	216409	MGBC116409	1	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis						50
MGBC116419	216419	MGBC116419	1	g__UBA3818	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;s__						1
MGBC116426	216426	MGBC116426	1	f__Monoglobaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__;s__						1
MGBC116427	216427	MGBC116427	1	s__Lactococcus garvieae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae						2
MGBC116430	216430	MGBC116430	1	s__Pediococcus pentosaceus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus						2
MGBC116435	216435	MGBC116435	1	s__Leuconostoc pseudomesenteroides	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides						2
MGBC116453	216453	MGBC116453	1	s__Alistipes finegoldii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii						8
MGBC116460	216460	MGBC116460	1	g__CAG-95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__						6
MGBC116472	216472	MGBC116472	1	s__Alistipes sp002362235	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002362235						178
MGBC116657	216657	MGBC116657	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						4
MGBC116682	216682	MGBC116682	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						4
MGBC116689	216689	MGBC116689	1	g__Lawsonibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__						1
MGBC116724	216724	MGBC116724	1	g__UMGS1872	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__						15
MGBC116812	216812	MGBC116812	1	s__Bifidobacterium animalis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis						3
MGBC116833	216833	MGBC116833	1	g__Alistipes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__						14
MGBC116935	216935	MGBC116935	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						1
MGBC116940	216940	MGBC116940	1	g__14-2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__						3
MGBC116941	216941	MGBC116941	1	o__Christensenellales	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__						1
MGBC116946	216946	MGBC116946	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						3
MGBC116954	216954	MGBC116954	1	g__14-2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__						3
MGBC116964	216964	MGBC116964	1	g__Phocaeicola	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__						4
MGBC116970	216970	MGBC116970	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						1
MGBC116972	216972	MGBC116972	1	s__CAG-180 sp900540295	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp900540295						32
MGBC117087	217087	MGBC117087	1	g__CAG-873	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__						17
MGBC117094	217094	MGBC117094	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						18
MGBC117240	217240	MGBC117240	1	s__Turicibacter sp002311155	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp002311155						64
MGBC117253	217253	MGBC117253	1	g__UBA9475	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__						29
MGBC117295	217295	MGBC117295	1	s__UBA3263 sp001689615	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615						108
MGBC117378	217378	MGBC117378	1	g__1XD42-69	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__						52
MGBC117419	217419	MGBC117419	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						6
MGBC117436	217436	MGBC117436	1	g__14-2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__						1
MGBC117467	217467	MGBC117467	1	g__Eubacterium_J	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__						4
MGBC117495	217495	MGBC117495	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						11
MGBC117562	217562	MGBC117562	1	f__CAG-611	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__						1
MGBC117610	217610	MGBC117610	1	g__Evtepia	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__						2
MGBC117628	217628	MGBC117628	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						2
MGBC117665	217665	MGBC117665	1	g__Ruminococcus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__						2
MGBC117744	217744	MGBC117744	1	g__Flavonifractor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__						1
MGBC117829	217829	MGBC117829	1	g__Ruminococcus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__						1
MGBC117992	217992	MGBC117992	1	g__CAG-267	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__						1
MGBC118027	218027	MGBC118027	1	g__CAG-81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__						6
MGBC118028	218028	MGBC118028	1	g__TF01-11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__						2
MGBC118047	218047	MGBC118047	1	g__Eubacterium_R	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__						2
MGBC118066	218066	MGBC118066	1	g__UBA5578	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5578;s__						3
MGBC118072	218072	MGBC118072	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						37
MGBC118087	218087	MGBC118087	1	g__CAG-196	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__						1
MGBC118190	218190	MGBC118190	1	s__CAG-485 sp002491945	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002491945						60
MGBC118394	218394	MGBC118394	1	g__Eubacterium_F	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__						8
MGBC118395	218395	MGBC118395	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						32
MGBC118412	218412	MGBC118412	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						1
MGBC118434	218434	MGBC118434	1	s__COE1 sp002490665	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665						108
MGBC118768	218768	MGBC118768	1	g__Acetatifactor	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__						120
MGBC118889	218889	MGBC118889	1	g__CAG-594	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-594;s__						1
MGBC118957	218957	MGBC118957	1	g__CAG-495	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__						20
MGBC119012	219012	MGBC119012	1	g__Kineothrix	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__						12
MGBC119074	219074	MGBC119074	1	f__Anaerovoracaceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__						1
MGBC119075	219075	MGBC119075	1	s__Alistipes_A indistinctus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus						1
MGBC119114	219114	MGBC119114	1	g__Alistipes_A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__						4
MGBC119115	219115	MGBC119115	1	g__Parabacteroides	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__						38
MGBC119269	219269	MGBC119269	1	f__CAG-1000	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__						2
MGBC119292	219292	MGBC119292	1	g__CAG-303	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__						19
MGBC119341	219341	MGBC119341	1	g__Paramuribaculum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__						2
MGBC119345	219345	MGBC119345	1	s__UBA7173 sp900555165	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900555165						11
MGBC119608	219608	MGBC119608	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						3
MGBC119653	219653	MGBC119653	1	g__Allobaculum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__						4
MGBC119725	219725	MGBC119725	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						1
MGBC119734	219734	MGBC119734	1	g__UMGS1872	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__						1
MGBC119765	219765	MGBC119765	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						35
MGBC119771	219771	MGBC119771	1	g__CAG-594	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-594;s__						1
MGBC119817	219817	MGBC119817	1	f__CAG-611	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__						1
MGBC119835	219835	MGBC119835	1	g__COE1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__						1
MGBC119866	219866	MGBC119866	1	g__Dorea	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__						2
MGBC119923	219923	MGBC119923	1	g__UBA7182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__						22
MGBC119928	219928	MGBC119928	1	g__UBA7057	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA7057;s__						1
MGBC119940	219940	MGBC119940	1	g__Eubacterium_J	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__						11
MGBC120045	220045	MGBC120045	1	g__Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__						1
MGBC120144	220144	MGBC120144	1	s__COE1 sp003513705	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp003513705						165
MGBC120187	220187	MGBC120187	1	f__UBA3700	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__						1
MGBC120236	220236	MGBC120236	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						2
MGBC120247	220247	MGBC120247	1	g__Eubacterium_R	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__						66
MGBC120314	220314	MGBC120314	1	f__Lachnospiraceae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__						3
MGBC120343	220343	MGBC120343	1	g__D16-63	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__D16-63;s__						1
MGBC120354	220354	MGBC120354	1	g__Eubacterium_F	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__						9
MGBC120363	220363	MGBC120363	1	g__Ruminococcus_C	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__						3
MGBC120460	220460	MGBC120460	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						121
MGBC120535	220535	MGBC120535	1	s__Duncaniella sp001689575	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575						79
MGBC120617	220617	MGBC120617	1	s__Ruminococcus sp002362135	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus sp002362135						21
MGBC120805	220805	MGBC120805	1	g__ASF356	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__						3
MGBC120887	220887	MGBC120887	1	g__UMGS1815	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1815;s__						5
MGBC120897	220897	MGBC120897	1	g__CAG-485	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__						4
